Gewerk;Unternehmen;PPS_Nummer;PLZ
Keller / Bodenplatte;Knecht Sora;1112;01
Keller / Bodenplatte;Glatthaar;1183;01
Keller / Bodenplatte;Knecht Sora;1112;02
Keller / Bodenplatte;Glatthaar;1183;02
Keller / Bodenplatte;Knecht Sora;1112;03
Keller / Bodenplatte;Glatthaar;1183;03
Keller / Bodenplatte;Knecht Sora;1112;04
Keller / Bodenplatte;Glatthaar;1183;04
Keller / Bodenplatte;Knecht Sora;1112;05
Keller / Bodenplatte;Glatthaar;1183;05
Keller / Bodenplatte;Knecht Sora;1112;07
Keller / Bodenplatte;Glatthaar;1183;07
Keller / Bodenplatte;Knecht Sora;1112;08
Keller / Bodenplatte;Glatthaar;1183;08
Keller / Bodenplatte;Knecht Werder;1111;10
Keller / Bodenplatte;Glatthaar;1183;10
Keller / Bodenplatte;Knecht Werder;1111;12
Keller / Bodenplatte;Glatthaar;1183;12
Keller / Bodenplatte;Knecht Werder;1111;13
Keller / Bodenplatte;Knecht Werder;1111;14
Keller / Bodenplatte;Glatthaar;1183;14
Keller / Bodenplatte;Knecht Werder;1111;15
Keller / Bodenplatte;Glatthaar;1183;15
Keller / Bodenplatte;Knecht Werder;1111;16
Keller / Bodenplatte;Knecht Werder;1111;17
Keller / Bodenplatte;Knecht Werder;1111;18
Keller / Bodenplatte;Knecht Werder;1111;19
Keller / Bodenplatte;Knecht Werder;1111;20
Keller / Bodenplatte;Knecht Werder;1111;21
Keller / Bodenplatte;Knecht Werder;1111;22
Keller / Bodenplatte;Knecht Werder;1111;23
Keller / Bodenplatte;Knecht Werder;1111;24
Keller / Bodenplatte;Knecht Werder;1111;25
Keller / Bodenplatte;Knecht Werder;1111;26
Keller / Bodenplatte;Knecht Werder;1111;27
Keller / Bodenplatte;Knecht Werder;1111;28
Keller / Bodenplatte;Knecht Werder;1111;29
Keller / Bodenplatte;Knecht Werder;1111;30
Keller / Bodenplatte;Glatthaar;1183;30
Keller / Bodenplatte;Knecht Werder;1111;31
Keller / Bodenplatte;Glatthaar;1183;31
Keller / Bodenplatte;Glatthaar;1183;32
Keller / Bodenplatte;Knecht Metzingen;0;32
Keller / Bodenplatte;Glatthaar;1183;33
Keller / Bodenplatte;Knecht Metzingen;0;33
Keller / Bodenplatte;Franzbau;1184;34
Keller / Bodenplatte;Knecht Metzingen;0;34
Keller / Bodenplatte;Glatthaar;1183;34
Keller / Bodenplatte;Franzbau;1184;35
Keller / Bodenplatte;Knecht Metzingen;0;35
Keller / Bodenplatte;Glatthaar;1183;35
Keller / Bodenplatte;Franzbau;1184;36
Keller / Bodenplatte;Knecht Metzingen;0;36
Keller / Bodenplatte;Glatthaar;1183;36
Keller / Bodenplatte;Knecht Metzingen;0;37
Keller / Bodenplatte;Glatthaar;1183;37
Keller / Bodenplatte;Knecht Werder;1111;38
Keller / Bodenplatte;Glatthaar;1183;38
Keller / Bodenplatte;Knecht Werder;1111;39
Keller / Bodenplatte;Glatthaar;1183;39
Keller / Bodenplatte;Glatthaar;1183;40
Keller / Bodenplatte;Knecht Metzingen;0;40
Keller / Bodenplatte;Glatthaar;1183;41
Keller / Bodenplatte;Knecht Metzingen;0;41
Keller / Bodenplatte;Glatthaar;1183;42
Keller / Bodenplatte;Knecht Metzingen;0;42
Keller / Bodenplatte;Glatthaar;1183;44
Keller / Bodenplatte;Knecht Metzingen;0;44
Keller / Bodenplatte;Glatthaar;1183;45
Keller / Bodenplatte;Knecht Metzingen;0;45
Keller / Bodenplatte;Glatthaar;1183;46
Keller / Bodenplatte;Knecht Metzingen;0;46
Keller / Bodenplatte;Glatthaar;1183;47
Keller / Bodenplatte;Knecht Metzingen;0;47
Keller / Bodenplatte;Glatthaar;1183;48
Keller / Bodenplatte;Knecht Metzingen;0;48
Keller / Bodenplatte;Knecht Metzingen;0;49
Keller / Bodenplatte;Glatthaar;1183;50
Keller / Bodenplatte;Knecht Metzingen;0;50
Keller / Bodenplatte;Glatthaar;1183;51
Keller / Bodenplatte;Knecht Metzingen;0;51
Keller / Bodenplatte;Glatthaar;1183;52
Keller / Bodenplatte;Knecht Metzingen;0;52
Keller / Bodenplatte;Glatthaar;1183;53
Keller / Bodenplatte;Knecht Metzingen;0;53
Keller / Bodenplatte;Glatthaar;1183;54
Keller / Bodenplatte;Knecht Metzingen;0;54
Keller / Bodenplatte;Glatthaar;1183;55
Keller / Bodenplatte;Knecht Metzingen;0;55
Keller / Bodenplatte;Glatthaar;1183;56
Keller / Bodenplatte;Knecht Metzingen;0;56
Keller / Bodenplatte;Glatthaar;1183;57
Keller / Bodenplatte;Knecht Metzingen;0;57
Keller / Bodenplatte;Glatthaar;1183;58
Keller / Bodenplatte;Knecht Metzingen;0;58
Keller / Bodenplatte;Glatthaar;1183;59
Keller / Bodenplatte;Knecht Metzingen;0;59
Keller / Bodenplatte;Franzbau;1184;60
Keller / Bodenplatte;Knecht Metzingen;0;60
Keller / Bodenplatte;Glatthaar;1183;60
Keller / Bodenplatte;Franzbau;1184;61
Keller / Bodenplatte;Knecht Metzingen;0;61
Keller / Bodenplatte;Glatthaar;1183;61
Keller / Bodenplatte;Franzbau;1184;63
Keller / Bodenplatte;Knecht Metzingen;0;63
Keller / Bodenplatte;Glatthaar;1183;63
Keller / Bodenplatte;Franzbau;1184;64
Keller / Bodenplatte;Knecht Metzingen;0;64
Keller / Bodenplatte;Glatthaar;1183;64
Keller / Bodenplatte;Glatthaar;1183;65
Keller / Bodenplatte;Knecht Metzingen;0;65
Keller / Bodenplatte;Glatthaar;1183;66
Keller / Bodenplatte;Knecht Metzingen;0;66
Keller / Bodenplatte;Glatthaar;1183;67
Keller / Bodenplatte;Knecht Metzingen;0;67
Keller / Bodenplatte;Glatthaar;1183;68
Keller / Bodenplatte;Knecht Metzingen;0;68
Keller / Bodenplatte;Knecht Metzingen;0;70
Keller / Bodenplatte;Glatthaar;1183;70
Keller / Bodenplatte;Knecht Metzingen;0;71
Keller / Bodenplatte;Glatthaar;1183;71
Keller / Bodenplatte;Knecht Metzingen;0;72
Keller / Bodenplatte;Glatthaar;1183;72
Keller / Bodenplatte;Knecht Metzingen;0;73
Keller / Bodenplatte;Glatthaar;1183;73
Keller / Bodenplatte;Knecht Metzingen;0;74
Keller / Bodenplatte;Glatthaar;1183;74
Keller / Bodenplatte;Glatthaar;1183;75
Keller / Bodenplatte;Knecht Metzingen;0;75
Keller / Bodenplatte;Glatthaar;1183;76
Keller / Bodenplatte;Knecht Metzingen;0;76
Keller / Bodenplatte;Knecht Metzingen;0;77
Keller / Bodenplatte;Knecht Metzingen;0;78
Keller / Bodenplatte;Knecht Metzingen;0;79
Keller / Bodenplatte;Knecht Metzingen;0;80
Keller / Bodenplatte;Knecht Metzingen;0;81
Keller / Bodenplatte;Knecht Metzingen;0;82
Keller / Bodenplatte;Knecht Metzingen;0;83
Keller / Bodenplatte;Knecht Metzingen;0;84
Keller / Bodenplatte;Knecht Metzingen;0;85
Keller / Bodenplatte;Knecht Metzingen;0;86
Keller / Bodenplatte;Knecht Metzingen;0;87
Keller / Bodenplatte;Glatthaar;1183;87
Keller / Bodenplatte;Knecht Metzingen;0;88
Keller / Bodenplatte;Glatthaar;1183;88
Keller / Bodenplatte;Knecht Metzingen;0;89
Keller / Bodenplatte;Glatthaar;1183;89
Keller / Bodenplatte;Knecht Metzingen;0;90
Keller / Bodenplatte;Knecht Metzingen;0;91
Keller / Bodenplatte;Knecht Metzingen;0;92
Keller / Bodenplatte;Knecht Metzingen;0;93
Keller / Bodenplatte;Knecht Metzingen;0;94
Keller / Bodenplatte;Knecht Sora;1112;95
Keller / Bodenplatte;Glatthaar;1183;95
Keller / Bodenplatte;Knecht Sora;1112;96
Keller / Bodenplatte;Glatthaar;1183;96
Keller / Bodenplatte;Knecht Metzingen;0;97
Keller / Bodenplatte;Glatthaar;1183;97
Keller / Bodenplatte;Knecht Sora;1112;98
Keller / Bodenplatte;Glatthaar;1183;98
Keller / Bodenplatte;Knecht Sora;1112;99
Keller / Bodenplatte;Glatthaar;1183;99
Keller / Bodenplatte;Knecht Metzingen;0;LUX
Gerüstbau;Hepp;502;01
Gerüstbau;Hepp;502;02
Gerüstbau;Hepp;502;03
Gerüstbau;Hepp;502;04
Gerüstbau;Hepp;502;05
Gerüstbau;Hepp;502;06
Gerüstbau;Hepp;502;07
Gerüstbau;Hepp;502;08
Gerüstbau;Hepp;502;09
Gerüstbau;Hepp;502;10
Gerüstbau;Hepp;502;11
Gerüstbau;Hepp;502;12
Gerüstbau;Hepp;502;13
Gerüstbau;Hepp;502;14
Gerüstbau;Hepp;502;15
Gerüstbau;Hepp;502;16
Gerüstbau;Hepp;502;17
Gerüstbau;Hepp;502;18
Gerüstbau;Hepp;502;19
Gerüstbau;Hepp;502;20
Gerüstbau;Hepp;502;21
Gerüstbau;Hepp;502;22
Gerüstbau;Hepp;502;23
Gerüstbau;Hepp;502;24
Gerüstbau;Hepp;502;25
Gerüstbau;Hepp;502;26
Gerüstbau;Hepp;502;27
